Index,Matiere,Question,Reponse1,Reponse2,Reponse3,ReponseCorrecte
1,Maths,25 + 13 = _,28,38,48,2
2,Maths,4 + 4 = _,6,9,8,3
3,Maths,10 - 3 = _,8,7,6,2
4,Maths,10 + _ = 12,2,3,4,1
5,Maths,_ + 3 = 5,2,3,5,1
6,Maths,7 est...,plus petit que 9?,plus grand que 9?,égal a 9?,1
7,Maths,1 est...,plus grand que 3?,plus petit que 3?,égal a 3,2
8,Maths,5 est...,plus grand que 5?,égal a 5?,plus petit que 5?,2
9,Maths,6 est...,plus petit que 4?,égal a 4?,plus grand que 4?,3
10,Maths,5 - 3 = _,3,2,1,2
11,Anglais,Que veut dire tree ?,Arbre,3,voiture,1
12,Anglais,Que veut dire blue ?,Bleu,Vert,Rouge,1
13,Anglais,Que veut dire green ?,Bleu,Vert,Rouge,2
14,Anglais,Que veut dire red ?,Bleu,Vert,Rouge,3
15,Anglais,Que veut dire banana ?,Orange,Banane,Fraise,2
16,Anglais,Que veut dire sad ?,Fatigué,Heureux,Triste,3
17,Histoire,Qui était le roi Soleil ?,Louis XIV,Napoléon,François 1er,1
18,Histoire,Quelle est la date de la révolution française ?,701,700,1789,3
19,Géographie,Quelle est la capitale de la France ?,Paris,Lille,Londres,1
20,Science,Quels sont les 3 différents états de l'eau ?,Solide Liquide et Gazeux,Chaud Froid et Tiède,il y en a 4,1
21,Science,Quel est le satellite naturel de la Terre ?,Mars,Le Soleil,La Lune,3
22,Science,A quelle catégorie appartient l'espèce humaine ?,Les invertébrés,Les mammifères,Les Dinosaures,2
23,Géographie,Quelle est la capitale du Royaume-Uni ?,Paris,Douvres,Londres,3
24,Géographie,Quelle est la capitale de la Belgique,Tournai,Londres,Bruxelles,3
25,Histoire,Quelle était le nom de la France ?,La Gaule,l'Espagne,la Belgique,1
26,Anglais,Comment dit-on ordinateur en anglais ?,Car,Computer,Tree,2
27,Anglais,Comment dit-on lit en anglais ?,Bed,Desk,Tree,1
28,Anglais,Comment dit-on chaise en anglais ?,Tree,Table,Chair,3
29,Histoire,Qui a inventé l'école ?,Clovis,Napoléon,Charlemagne,3
30,Maths,Quel est le double de 1?,2,3,1,1
31,Maths,Quel est le double de 3?,4,6,9,2
32,Maths,Quel est le double de 5?,10,20,5,1
33,Maths,Quel est la moitié de 2?,0,1,2,2
34,Maths,Quel est la moitié de 4?,4,8,2,3
35,Maths,Quel est la moitié de 6?,1,2,3,3
36,Maths,Combien de côté à un triangle?,1,2,3,3
37,Maths,Combien de côté à un rectangle?,3,4,5,2
38,Maths,Combien de côté à un carré?,2,3,4,3
39,Maths,Un carré a,4 côtés identiques,4 côtés différents,Les côtés égaux 2 a deux,1
40,Maths,Un rectangle a,4 côtés identiques,4 côtés différents,Les côtés égaux 2 a deux,3
41,Maths,42 a,6 dizaines,2 dizaines,4 dizaines,3
42,Maths,89 a,9 dizaines,8 dizaines,7 dizaines,2
43,Maths,Le nombre 38 a,8 unités,3 unités,6 unités,1
44,Maths,Le nombre 15 a,2 unités,4 unités,5 unités,3
